"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-490-3p",3.04167409852222,5.13065036563118,4.3213561693409,2.20415840767606e-05,0.000287489366928394,1.87881702786979
"hsa-miR-22",1.9564781464591,8.01788708946008,4.31930212456771,2.2233889888347e-05,0.000287489366928394,1.87055937403922
"hsa-miR-145",-2.71854378048184,7.64696996869582,-4.29245575778884,2.48997517289084e-05,0.00031464231730166,1.76294473827051
"hsa-miR-106a+hsa-miR-17",3.12244455824293,5.13285838869962,4.27399670921195,2.6907341167988e-05,0.000319650716605958,1.68928876641704
"hsa-miR-148b",2.79688089186727,5.72705214977186,4.27299294449349,2.70208339576979e-05,0.000319650716605958,1.68529141048808
"hsa-miR-15a",1.57377299960688,9.06188536435741,4.21721956572685,3.40988231071815e-05,0.000394978034324853,1.4644656433453
"hsa-miR-191",1.92989504398253,8.10257087391255,4.17359006363268,4.08370018809983e-05,0.000463374960119082,1.29348591353772
"hsa-miR-421",2.73680635321472,3.26957974314449,4.15327458850924,4.43916970178445e-05,0.000483956540037677,1.21440205528952
"hsa-miR-1274a",1.08216225889239,13.2042333642357,4.0952038132385,5.62532664158813e-05,0.000601477233215962,0.990210769787954
"hsa-miR-130b",2.54370064181825,3.07597589591635,4.08218558994001,5.92989972014426e-05,0.000622080046113247,0.940332344180828
"hsa-miR-30a",1.93889020294307,7.7245846533308,4.0443447956658,6.90692983715022e-05,0.000711157961010282,0.796141806372304
"hsa-miR-98",2.97319738337587,5.05550436003422,3.81791280754598,0.00016804982210169,0.00169883092888254,-0.0417741797402371
"hsa-miR-1305",2.82207401485914,4.04447485794677,3.79985282255446,0.000180085823055936,0.00178799495748393,-0.106753215120263
"hsa-miR-146b-5p",2.79674211652102,4.25607778634221,3.76705854755736,0.000204052737471188,0.00199040915849088,-0.224040294401574
"hsa-miR-16",2.38677561244595,11.4349228713308,3.65398118591382,0.000311879583761135,0.00298974221674467,-0.621447443641739
"hsa-miR-574-5p",2.1554233202745,2.98908550047909,3.61565921339966,0.000359267699929405,0.00338564137560591,-0.753650977191249
"hsa-miR-660",2.14267900972021,2.53314074294677,3.57535686987845,0.000416361523722368,0.00385828345316061,-0.891325874636553
"hsa-miR-34c-5p",-2.96944085310021,3.97182084934221,-3.562041828384,0.000437025968094963,0.0039833842337836,-0.936503447172003
"hsa-miR-1979",1.23953222334767,8.7922718686654,3.55329959145992,0.000451113131693713,0.00404546614873716,-0.966082475860118
"hsa-miR-151-5p",2.02221218444977,7.16284302562738,3.53905867950264,0.000474976936399155,0.00419185994663381,-1.01412480294826
"hsa-miR-301b",1.96439543460881,1.86909381838403,3.46176923397391,0.000626514190391677,0.00536117530363678,-1.27180261114387
"hsv1-miR-H8",2.50829407975823,4.72001621041825,3.46166052760868,0.00062675610564099,0.00536117530363678,-1.27216138090751
"hsa-miR-107",2.50422378381754,4.61841602263118,3.4501684545426,0.000652829350730852,0.00548848688421169,-1.31003134927342
"hsa-miR-19b",1.18271859987134,9.0922771993308,3.44308354339441,0.000669405494172112,0.00548848688421169,-1.33332108459867
"hsa-miR-374a",2.73323451287707,4.70746764410266,3.44230374470281,0.000671253791594235,0.00548848688421169,-1.33588179314434
"hsa-miR-374b",2.32077233333308,5.37147413034221,3.28748734714639,0.00114912466923393,0.00925961327672558,-1.8337397554929
"ebv-miR-BART14",1.97255562672762,1.84505203108365,3.25824056573398,0.00126916959826979,0.0100808328091143,-1.92542729662166
"hsa-miR-216a",-2.40113745232522,3.99978745005703,-3.23929604651994,0.00135303522586335,0.0105955997969017,-1.98441464959114
"hsa-miR-574-3p",-2.17091553071715,2.22420112294677,-3.20187743047659,0.00153398852315997,0.0117401183485011,-2.09999168983639
"kshv-miR-K12-11",-1.23850645683811,0.703339484250951,-3.16825656618595,0.0017154426890895,0.012889001826132,-2.20277956951388
"hsa-miR-199b-5p",-2.57717838981734,4.68761734145247,-3.15285155062781,0.00180504767452795,0.0133814200938339,-2.24954126239071
"hsa-miR-331-3p",1.89578104177976,5.12489352153992,3.14074431194192,0.00187848583911876,0.0137426069282899,-2.28614440709859
"hsa-miR-196b",2.0737725249512,1.9397263921597,3.08391167381038,0.00226154299234473,0.0163301026460217,-2.45621671873631
